ID-Transação,Data,Produto,Serial number,Valor de Venda,Preço Custo,Cidade,Estado,País
1009,6/3/2017,DX101,GF54319,17.62,9.16,Belo Horizonte,Minas Gerais,Brasil
1031,18/03/2017,DX101,GF54489,18.56,8.11,Belo Horizonte,Minas Gerais,Brasil
1034,20/03/2017,DX101,GF54405,19.12,8.11,Vitória,Espírito Santo,Brasil
1057,31/03/2017,DX101,GF54430,19.11,8.28,São Paulo,São Paulo,Brasil
1059,24/03/2017,DX101,GF54576,18.9,8.99,Vitória,Espírito Santo,Brasil
1062,29/03/2017,DX101,GF54587,16.87,9.34,Vitória,Espírito Santo,Brasil
1076,22/03/2017,DX101,GF54501,18.34,9.34,Campos,Rio de Janeiro,Brasil
1077,5/3/2017,DX101,GF54258,17.43,9.52,Belo Horizonte,Minas Gerais,Brasil
1085,20/03/2017,DX101,GF54296,21.23,8.11,Uberlândia,Minas Gerais,Brasil
1087,20/03/2017,DX101,GF54389,22.9,8.64,Uberlândia,Minas Gerais,Brasil
1090,29/03/2017,DX101,GF54462,23.87,9.69,Petrópolis,Rio de Janeiro,Brasil
1093,2/3/2017,DX101,GF54592,15.56,9.34,Belo Horizonte,Minas Gerais,Brasil
1102,23/03/2017,DX101,GF54599,16.98,8.64,Taubaté,São Paulo,Brasil
1027,27/02/2017,CX102,GF54233,24.79,11.4,Belo Horizonte,Minas Gerais,Brasil
1048,3/3/2017,CX102,GF54664,25.98,12.89,Linhares,Espírito Santo,Brasil
1066,5/3/2017,CX102,GF54402,26.9,13.39,Petrópolis,Rio de Janeiro,Brasil
1094,5/3/2017,CX102,GF54679,21.87,11.4,Belo Horizonte,Minas Gerais,Brasil
1004,28/03/2017,BX101,GF54527,30.06,13.53,Rio de Janeiro,Rio de Janeiro,Brasil
1039,17/03/2017,BX101,GF54692,29.4,14.73,Vila Velha,Espírito Santo,Brasil
1040,4/3/2017,BX101,GF54696,28.98,14.73,Vila Velha,Espírito Santo,Brasil
1046,4/3/2017,BX101,GF54607,27.65,14.73,Linhares,Espírito Santo,Brasil
1064,11/3/2017,BX101,GF54434,26.9,14.73,Petrópolis,Rio de Janeiro,Brasil
1070,20/03/2017,BX101,GF54460,33.9,15.03,Belo Horizonte,Minas Gerais,Brasil
1072,30/03/2017,BX101,GF54433,34.23,14.73,São Paulo,São Paulo,Brasil
1014,29/03/2017,DX103,GF54556,42.52,23.39,Osasco,São Paulo,Brasil
1018,7/3/2017,DX103,GF54315,43.98,19.13,São Paulo,São Paulo,Brasil
1043,17/03/2017,DX103,GF54250,44.12,22.96,Linhares,Espírito Santo,Brasil
1044,21/03/2017,DX103,GF54604,39.9,21.26,Linhares,Espírito Santo,Brasil
1065,4/3/2017,DX103,GF54658,43.9,19.98,Rio de Janeiro,Rio de Janeiro,Brasil
1013,27/03/2017,CX101,GF54609,45.9,21.75,Campinas,São Paulo,Brasil
1019,14/03/2017,CX101,GF54568,45.98,21.29,São Paulo,São Paulo,Brasil
1029,4/3/2017,CX101,GF54685,44.12,23.1,Belo Horizonte,Minas Gerais,Brasil
1045,24/03/2017,CX101,GF54559,44.9,21.75,Linhares,Espírito Santo,Brasil
1089,14/03/2017,CX101,GF54601,45.9,24.92,Rio de Janeiro,Rio de Janeiro,Brasil
1008,27/02/2017,AX102,GF54584,51.28,24.1,Betim,Minas Gerais,Brasil
1010,27/03/2017,AX102,GF54236,53.87,27.18,Teresópolis,Rio de Janeiro,Brasil
