ID,NOME,CATEGORIA,SEGMENTO,MARCA
SKU-0000002,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000007,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000009,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000011,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000012,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000013,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000014,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000015,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000028,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000029,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000030,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000031,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000032,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000033,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000034,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000035,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000036,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000037,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000038,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000039,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000136,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000137,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000138,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000139,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000141,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000143,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000144,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000145,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000146,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000147,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000149,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000150,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000152,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000153,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000154,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000156,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000161,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000162,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000163,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000164,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000165,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000166,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000167,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000168,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000169,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000182,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000183,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000184,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000185,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000186,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000187,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000188,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000189,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000190,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000191,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000192,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000193,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000440,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000441,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000442,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000443,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000445,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000447,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000448,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000449,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000450,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000451,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000453,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000454,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000456,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000457,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000008,Geladeira Duplex,Eletrodomésticos,Doméstico,Electrolux
SKU-0000010,Geladeira Duplex,Eletrodomésticos,Doméstico,Electrolux
SKU-0000290,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000291,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000292,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000293,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000295,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000297,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000298,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000299,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000300,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000301,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000303,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000304,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000306,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000307,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000308,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000310,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000315,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000316,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000317,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000318,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000319,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000320,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000321,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000322,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000323,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000336,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000337,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000338,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000339,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000340,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
