ID-Produto,ID-Vendedor,Loja,Data Venda,ValorVenda
SKU-0000001,1009,SP8821,04/10/2012,679
SKU-0000002,1006,SP8821,01/01/2012,832
SKU-0000003,1006,SP8821,02/02/2012,790
SKU-0000004,1003,SP8821,03/03/2012,765.32
SKU-0000005,1004,SP8821,04/04/2012,459.89
SKU-0000006,1005,SP8821,04/05/2012,590.98
SKU-0000007,1006,SP8821,04/06/2012,1000.91
SKU-0000008,1007,A9990,04/07/2012,1229
SKU-0000009,1003,SP8821,04/08/2012,1300
SKU-0000010,1002,SP8821,04/09/2012,1290
SKU-0000011,1009,SP8821,04/09/2012,1287
SKU-0000012,1006,A9990,04/11/2012,1651
SKU-0000013,1006,SP8821,04/11/2012,1100
SKU-0000014,1003,SP8821,04/12/2012,1190
SKU-0000015,1004,SP8821,04/12/2012,1190.98
SKU-0000016,1005,A9990,02/01/2013,877
SKU-0000017,1006,SP8821,02/02/2013,982
SKU-0000018,1007,SP8821,02/03/2013,872
SKU-0000019,1003,SP8821,02/04/2013,799
SKU-0000020,1002,SP8821,02/05/2013,899
SKU-0000021,1009,SP8821,02/06/2013,799
SKU-0000022,1006,SP8821,02/07/2013,987
SKU-0000023,1006,SP8821,02/08/2013,699.9
SKU-0000024,1003,SP8821,02/09/2013,789.23
SKU-0000025,1004,SP8821,02/10/2013,789.34
SKU-0000026,1005,SP8821,02/11/2013,764.2
SKU-0000027,1006,SP8821,02/12/2013,1245.9
SKU-0000028,1007,SP8821,02/01/2013,1345.87
SKU-0000029,1003,SP8821,02/02/2013,1234.12
SKU-0000030,1002,SP8821,02/03/2013,1245.9
SKU-0000031,1001,SP8821,02/04/2013,1345.87
SKU-0000032,1001,SP8821,02/05/2013,1234.12
SKU-0000033,1001,SP8823,02/06/2013,1245.9
SKU-0000034,1002,SP8823,02/07/2013,1345.87
SKU-0000035,1003,SP8823,02/08/2013,1234.12
SKU-0000036,1004,SP8823,02/09/2013,1245.9
SKU-0000037,1005,SP8823,02/10/2013,1345.87
SKU-0000038,1006,SP8823,02/11/2013,1234.12
SKU-0000039,1007,SP8823,02/12/2013,1245.9
SKU-0000040,1008,R1296,01/01/2012,1345.87
SKU-0000041,1009,R1296,01/02/2012,1234.12
SKU-0000042,1001,V7654,01/03/2012,1245.9
SKU-0000043,1001,A9990,01/04/2012,1345.87
SKU-0000044,1002,SP8823,01/05/2012,1234.12
SKU-0000045,1003,SP8823,01/06/2012,1245.9
SKU-0000046,1004,SP8823,01/07/2012,1345.87
SKU-0000047,1005,SP8823,01/08/2012,1234.12
SKU-0000048,1006,R1296,01/09/2012,1245.9
SKU-0000049,1007,V7654,01/10/2012,1345.87
SKU-0000050,1008,SP8823,01/11/2012,1234.12
SKU-0000051,1009,SP8823,01/12/2012,900
SKU-0000052,1006,SP8823,02/01/2013,999
SKU-0000053,1006,SP8823,02/02/2013,1234
SKU-0000054,1003,SP8823,02/03/2013,998
SKU-0000055,1004,SP8823,02/04/2013,999
SKU-0000056,1005,SP8823,02/05/2013,999.99
SKU-0000057,1006,V7654,02/06/2013,982
SKU-0000058,1007,R1296,02/07/2013,1002
SKU-0000059,1003,SP8823,02/08/2013,376
SKU-0000060,1002,A9990,02/09/2013,899
SKU-0000061,1009,SP8823,02/10/2013,799
SKU-0000062,1006,SP8823,02/11/2013,1356
SKU-0000063,1006,SP8823,02/12/2013,1788
SKU-0000064,1003,SP8823,01/01/2012,459
SKU-0000065,1004,SP8823,01/02/2012,234
SKU-0000066,1005,SP8823,01/03/2012,345
SKU-0000067,1006,SP8823,01/04/2012,1345
SKU-0000068,1007,SP8823,01/05/2012,675
SKU-0000069,1003,SP8823,01/06/2012,123
SKU-0000070,1002,SP8823,01/07/2012,455
SKU-0000071,1009,V7654,01/08/2012,566
SKU-0000072,1006,R1296,01/09/2012,1200
SKU-0000073,1006,A9990,01/10/2012,1220
SKU-0000074,1003,SP8823,01/11/2012,123
SKU-0000075,1004,SP8823,01/12/2012,445
SKU-0000076,1005,SP8823,02/01/2013,345
SKU-0000077,1006,SP8823,02/02/2013,1220
SKU-0000078,1007,SP8823,02/03/2013,124
SKU-0000079,1003,A9990,02/04/2013,123
SKU-0000080,1002,SP8823,02/05/2013,230
SKU-0000081,1001,R1296,02/06/2013,290
SKU-0000082,1001,SP8823,02/07/2013,290
SKU-0000083,1001,SP8823,02/08/2013,290
SKU-0000084,1009,A9990,02/09/2013,290
SKU-0000085,1006,SP8823,02/10/2013,1100
SKU-0000086,1006,SP8823,02/11/2013,1234.89
SKU-0000087,1003,SP8823,02/12/2013,123
SKU-0000088,1004,P0761,02/01/2013,297
SKU-0000089,1005,SA7761,02/02/2013,1299
SKU-0000090,1006,P0761,02/03/2013,167
SKU-0000091,1007,SA7761,02/04/2013,1399
SKU-0000092,1003,V7654,02/05/2013,168
SKU-0000093,1002,R1296,02/06/2013,1278
SKU-0000094,1009,SP8823,02/07/2013,150
SKU-0000095,1006,A9990,02/08/2013,1190
SKU-0000096,1006,SP8823,02/09/2013,149
SKU-0000097,1003,R1296,02/10/2013,1290
SKU-0000098,1004,SP8823,02/11/2013,135
SKU-0000099,1005,SP8823,02/12/2013,139
SKU-0000100,1006,SP8823,02/01/2013,128
SKU-0000101,1007,SP8823,02/02/2013,138
SKU-0000102,1003,SP8823,02/03/2013,137
SKU-0000103,1002,SP8823,02/04/2013,126
SKU-0000104,1009,SP8822,02/05/2013,136
SKU-0000105,1006,SP8822,02/06/2013,139
SKU-0000106,1006,SP8822,02/07/2013,150
SKU-0000107,1003,SP8822,02/08/2013,167
SKU-0000108,1004,SP8822,02/09/2013,179
SKU-0000109,1005,SP8822,02/10/2013,149
SKU-0000110,1006,SP8822,02/11/2013,149
SKU-0000111,1007,SP8822,02/12/2013,149
SKU-0000112,1003,SP8822,02/01/2013,398
SKU-0000113,1002,SP8822,02/02/2013,788
SKU-0000114,1001,SP8822,02/03/2013,766
SKU-0000115,1001,SP8822,02/04/2013,655
SKU-0000116,1001,SP8822,02/05/2013,788
SKU-0000117,1009,SP8822,02/06/2013,655
SKU-0000118,1006,SP8822,02/07/2013,655
SKU-0000119,1006,SP8822,02/08/2013,455.12
SKU-0000120,1003,SP8822,02/09/2013,262
SKU-0000121,1004,SP8822,02/10/2013,445
SKU-0000122,1005,SP8822,02/11/2013,655
SKU-0000123,1006,SP8822,02/12/2013,555.32
SKU-0000124,1007,SP8822,02/01/2013,456
SKU-0000125,1003,SP8822,02/02/2013,277
SKU-0000126,1002,SP8822,02/03/2013,877
SKU-0000127,1009,SP8822,02/04/2013,988
SKU-0000128,1006,SP8822,02/05/2013,567.32
SKU-0000129,1006,P0761,02/06/2013,799.9
SKU-0000130,1003,SP8822,02/07/2013,1200
SKU-0000131,1004,SP8822,02/08/2013,345
SKU-0000132,1005,SP8822,02/09/2013,433
SKU-0000133,1006,SP8822,02/10/2013,345.89
SKU-0000134,1007,SP8822,02/11/2013,467
SKU-0000135,1003,SP8822,02/12/2013,1220
SKU-0000136,1002,A9990,09/01/2013,1233
SKU-0000137,1009,A9990,10/01/2013,1233
SKU-0000138,1006,A9990,11/02/2013,721
SKU-0000139,1006,V7654,12/03/2013,671
SKU-0000140,1003,V7654,13/03/2013,1899
SKU-0000141,1004,A9990,14/03/2013,346
SKU-0000142,1005,A9990,15/04/2013,699
SKU-0000143,1006,A9990,16/04/2013,876
SKU-0000144,1007,V7654,17/05/2013,655
SKU-0000145,1003,V7654,18/05/2013,1200
SKU-0000146,1002,A9990,19/05/2013,1229
SKU-0000147,1001,A9990,20/06/2013,1228
SKU-0000148,1001,A9990,21/07/2013,3999
SKU-0000149,1001,V7654,22/07/2013,1229
SKU-0000150,1009,V7654,23/09/2013,1299
SKU-0000151,1004,V7654,24/10/2013,3999
SKU-0000152,1007,A9990,25/11/2013,1234
SKU-0000153,1006,V7654,26/11/2013,875
SKU-0000154,1005,A9990,27/11/2013,433
SKU-0000155,1009,SP8822,04/10/2014,3999
SKU-0000156,1002,SP8822,01/01/2014,1288
SKU-0000157,1003,SP8822,02/02/2014,3999
SKU-0000158,1006,SP8822,03/03/2014,3999
SKU-0000159,1004,SP8822,04/04/2014,3999
SKU-0000160,1004,SP8822,04/05/2014,3999
SKU-0000161,1007,SP8822,04/06/2014,1234
SKU-0000162,1004,A9990,04/07/2014,1235
SKU-0000163,1006,SP8822,04/08/2014,1200
SKU-0000164,1005,SP8822,04/09/2014,788
SKU-0000165,1003,A9990,04/11/2014,761
SKU-0000166,1004,SP8822,04/11/2014,987
SKU-0000167,1003,SP8822,04/12/2014,1567
SKU-0000168,1009,SP8822,04/12/2014,1287
SKU-0000169,1002,A9990,02/01/2015,1287
SKU-0000170,1001,SP8822,02/02/2015,3999
SKU-0000171,1002,S6543,02/03/2015,3999
SKU-0000172,1002,S6543,02/04/2015,3999
SKU-0000173,1004,S6543,02/05/2015,3999
SKU-0000174,1002,B7659,02/06/2015,3999
SKU-0000175,1002,B7659,02/07/2015,3999
SKU-0000176,1004,SP8822,02/08/2015,3999
SKU-0000177,1002,SP8822,02/09/2015,3999
SKU-0000178,1002,SP8822,02/10/2015,1230
SKU-0000179,1004,SP8822,02/11/2015,1230
SKU-0000180,1004,SP8822,02/12/2015,1230
SKU-0000181,1004,SP8822,02/01/2015,1230
SKU-0000182,1006,SP8822,02/02/2015,1220
SKU-0000183,1007,SP8822,02/03/2015,1234
SKU-0000184,1003,SP8822,02/04/2015,1579
SKU-0000185,1002,SP8822,02/05/2015,1288
SKU-0000186,1009,SP8822,02/06/2015,1222
SKU-0000187,1006,SP8822,02/07/2015,1210
SKU-0000188,1006,SP8822,02/08/2015,1212
SKU-0000189,1003,SP8822,02/09/2015,1899
SKU-0000190,1004,SP8822,02/10/2015,567
