ano,modelo,preco,kilometragem,cor,transmissao
2011,SEL,21992,7413,Bege,AUTO
2011,SEL,20995,10926,Cinza,AUTO
2011,SEL,19995,7351,Prata,AUTO
2011,SEL,17809,11613,Cinza,AUTO
2012,SE,17500,8367,Branco,AUTO
2010,SEL,17495,25125,Prata,AUTO
2011,SEL,17000,27393,Azul,AUTO
2010,SEL,16995,21026,Prata,AUTO
2011,SES,16995,32655,Prata,AUTO
2010,SES,16995,36116,Prata,AUTO
2010,SES,16995,40539,Preto,AUTO
2011,SES,16992,9199,Prata,AUTO
2011,SEL,16950,9388,Verde,AUTO
2010,SES,16950,32058,Vermelho,AUTO
2011,SE,16000,15367,Branco,AUTO
2011,SES,15999,16368,Azul,AUTO
2010,SEL,15999,19926,Prata,AUTO
2010,SES,15995,36049,Prata,AUTO
2011,SEL,15992,11662,Azul,AUTO
2011,SEL,15992,32069,Prata,AUTO
2010,SES,15988,16035,Prata,MANUAL
2010,SEL,15980,39943,Branco,AUTO
2011,SE,15899,36685,Prata,AUTO
2010,SEL,15889,24920,Preto,AUTO
2009,SEL,15688,20019,Azul,AUTO
2010,SE,15500,29338,Azul,AUTO
2010,SE,15499,7784,Preto,AUTO
2010,SE,15499,35636,Preto,AUTO
2010,SES,15298,22029,Cinza,AUTO
2009,SEL,14999,33107,Prata,AUTO
2010,SES,14999,36306,Vermelho,AUTO
2009,SE,14995,34419,Preto,MANUAL
2011,SE,14992,4867,Preto,AUTO
2011,SEL,14992,18948,Preto,AUTO
2009,SES,14992,24030,Vermelho,AUTO
2010,SEL,14990,33036,Preto,AUTO
2011,SE,14989,23967,Branco,AUTO
2010,SE,14906,37905,Prata,AUTO
2010,SE,14900,28955,Branco,AUTO
2010,SE,14893,11165,Branco,AUTO
2010,SES,14761,44813,Preto,AUTO
2010,SES,14699,36469,Cinza,AUTO
2010,SES,14677,22143,Preto,MANUAL
2009,SES,14549,34046,Prata,AUTO
2010,SE,14499,32703,Vermelho,AUTO
2010,SES,14495,35894,Prata,AUTO
2010,SE,14495,38275,Preto,AUTO
2010,SE,14480,24855,Azul,AUTO
2009,SEL,14477,29501,Cinza,MANUAL
2009,SEL,14355,35394,Vermelho,AUTO
2010,SE,14299,36447,Preto,AUTO
2010,SES,14275,35318,Preto,AUTO
2010,SES,14000,24929,Prata,AUTO
2009,SE,13999,23785,Vermelho,AUTO
2010,SE,13997,15167,Preto,MANUAL
2010,SE,13995,13541,Prata,AUTO
2010,SE,13995,20278,Preto,MANUAL
2009,SES,13995,46126,Preto,AUTO
2009,SES,13995,53733,Prata,AUTO
2009,SES,13992,21108,Prata,AUTO
2010,SE,13992,21721,Verde,AUTO
2010,SES,13992,26716,Cinza,MANUAL
2009,SES,13992,26887,Preto,AUTO
2009,SE,13991,36252,Prata,MANUAL
2009,SE,13950,9450,Preto,AUTO
2010,SE,13950,31414,Preto,AUTO
2010,SE,13950,37185,Azul,AUTO
2010,SE,13895,48174,Cinza,AUTO
2009,SE,13888,50533,Branco,AUTO
2009,SE,13845,36713,Azul,AUTO
2009,SES,13799,34888,Preto,AUTO
2009,SES,13742,38380,Preto,AUTO
2010,SEL,13687,35574,Cinza,AUTO
2009,SEL,13663,27528,Prata,AUTO
2010,SES,13599,33302,Vermelho,AUTO
2009,SEL,13584,43369,Vermelho,AUTO
2009,SES,13425,64055,Preto,AUTO
2010,SE,13384,41342,Cinza,AUTO
