"","N","estado_civil","grau_instrucao","n_filhos","salario","idade_anos","idade_meses","reg_procedencia"
"1",1,"solteiro","ensino fundamental",NA,4,26,3,"interior"
"2",2,"casado","ensino fundamental",1,4.56,32,10,"capital"
"3",3,"casado","ensino fundamental",2,5.25,36,5,"capital"
"4",4,"solteiro","ensino medio",NA,5.73,20,10,"outra"
"5",5,"solteiro","ensino fundamental",NA,6.26,40,7,"outra"
"6",6,"casado","ensino fundamental",0,6.66,28,0,"interior"
"7",7,"solteiro","ensino fundamental",NA,6.86,41,0,"interior"
"8",8,"solteiro","ensino fundamental",NA,7.39,43,4,"capital"
"9",9,"casado","ensino medio",1,7.59,34,10,"capital"
"10",10,"solteiro","ensino medio",NA,7.44,23,6,"outra"
"11",11,"casado","ensino medio",2,8.12,33,6,"interior"
"12",12,"solteiro","ensino fundamental",NA,8.46,27,11,"capital"
"13",13,"solteiro","ensino medio",NA,8.74,37,5,"outra"
"14",14,"casado","ensino fundamental",3,8.95,44,2,"outra"
"15",15,"casado","ensino medio",0,9.13,30,5,"interior"
"16",16,"solteiro","ensino medio",NA,9.35,38,8,"outra"
"17",17,"casado","ensino medio",1,9.77,31,7,"capital"
"18",18,"casado","ensino fundamental",2,9.8,39,7,"outra"
"19",19,"solteiro","superior",NA,10.53,25,8,"interior"
"20",20,"solteiro","ensino medio",NA,10.76,37,4,"interior"
"21",21,"casado","ensino medio",1,11.06,30,9,"outra"
"22",22,"solteiro","ensino medio",NA,11.59,34,2,"capital"
"23",23,"solteiro","ensino fundamental",NA,12,41,0,"outra"
"24",24,"casado","superior",0,12.79,26,1,"outra"
"25",25,"casado","ensino medio",2,13.23,32,5,"interior"
"26",26,"casado","ensino medio",2,13.6,35,0,"outra"
"27",27,"solteiro","ensino fundamental",NA,13.85,46,7,"outra"
"28",28,"casado","ensino medio",0,14.69,29,8,"interior"
"29",29,"casado","ensino medio",5,14.71,40,6,"interior"
"30",30,"casado","ensino medio",2,15.99,35,10,"capital"
"31",31,"solteiro","superior",NA,16.22,31,5,"outra"
"32",32,"casado","ensino medio",1,16.61,36,4,"interior"
"33",33,"casado","superior",3,17.26,43,7,"capital"
"34",34,"solteiro","superior",NA,18.75,33,7,"capital"
"35",35,"casado","ensino medio",2,19.4,48,11,"capital"
"36",36,"casado","superior",3,23.3,42,2,"interior"
